,timestamp,open (USD),high (USD),low (USD),close (USD),open (USD).1,high (USD).1,low (USD).1,close (USD).1,volume,market cap (USD),time_frame,symbol
17,2023-04-15,82.6,84.3,80.9,82.4,82.6,84.3,80.9,82.4,73889.436,73889.436,daily,AAVE
18,2023-04-14,81.3,83.9,80.1,82.5,81.3,83.9,80.1,82.5,136339.4,136339.4,daily,AAVE
19,2023-04-13,78.9,81.8,76.6,81.2,78.9,81.8,76.6,81.2,154620.906,154620.906,daily,AAVE
20,2023-04-12,79.0,79.6,75.4,78.9,79.0,79.6,75.4,78.9,78237.37,78237.37,daily,AAVE
21,2023-04-11,78.5,80.4,78.0,79.1,78.5,80.4,78.0,79.1,65806.716,65806.716,daily,AAVE
22,2023-04-10,76.3,78.7,75.1,78.5,76.3,78.7,75.1,78.5,44393.554,44393.554,daily,AAVE
23,2023-04-09,76.3,77.5,74.7,76.2,76.3,77.5,74.7,76.2,33652.468,33652.468,daily,AAVE
24,2023-04-08,78.2,78.9,75.9,76.3,78.2,78.9,75.9,76.3,33740.803,33740.803,daily,AAVE
25,2023-04-07,80.6,81.0,77.4,78.3,80.6,81.0,77.4,78.3,67339.843,67339.843,daily,AAVE
26,2023-04-06,78.3,81.5,77.5,80.6,78.3,81.5,77.5,80.6,110608.283,110608.283,daily,AAVE
27,2023-04-05,76.4,79.4,75.9,78.2,76.4,79.4,75.9,78.2,67594.75,67594.75,daily,AAVE
28,2023-04-04,73.8,77.0,73.0,76.4,73.8,77.0,73.0,76.4,56491.447,56491.447,daily,AAVE
